,tweet_id,created_at,full_text,user_id,tweet_type,retweeted_id
0,1532424285087752193,Thu Jun 02 18:09:55 +0000 2022,"From South Africa 🇿🇦 to Pittsburgh 🇺🇸 welcome this sweet family to their beautiful new home. Busy walk-through, making friends w/the neighbors, testing out the playset &amp; trying not to jump into the swimming pool 🏊🏽‍♂️ 
https://t.co/lYM4GmpgOP https://t.co/RCg0ObDf3K",829987441,Original Tweet,
0,1532424284861259776,Thu Jun 02 18:09:55 +0000 2022,@AngelaVolkov @kattenbarge Apologizing for things you didn't do on purpose is something common to ABUSE VICTIMS,1437460989784506368,Reply Tweet,
0,1532424284697571328,Thu Jun 02 18:09:55 +0000 2022,“Depp’s core claim — women advance their careers by accusing powerful men of abuse — doesn’t even hold up to the evidence…Heard is ruined; Depp is in pre-production for his next role; other alleged abusers are already copying his legal strategy.” https://t.co/OPTMIJEXnl,25006224,Retweet,1532421281072746497
0,1532424284219527178,Thu Jun 02 18:09:55 +0000 2022,Louisiana Gov to Testify in Police Cover-Up Probe https://t.co/pjzXlRXNHG via @thecrimereport @ACLU @NAACP @BLMLA @POTUS @wwoz_neworleans @NPR @LouisianaGov @LaDemos @LADeptHealth @NBCNightlyNews @LastWeekTonight #BLM #murder #abuse #police #Louisiana @DOJCrimDiv @FBINewOrleans,1522527175488020480,Original Tweet,
0,1532424284135641096,Thu Jun 02 18:09:55 +0000 2022,"BREAKING NEWS: President Biden announces that he is canceling a whopping $5.8 billion in student debt for over 560,000 borrowers who attended fraudulent Corinthian Colleges, making it the largest cancelation of student debt in American history. RT TO THANK PRESIDENT BIDEN!",800423179348942848,Retweet,1532149515926609923
0,1532424283548360704,Thu Jun 02 18:09:54 +0000 2022,"Be strong please, Allah never leaves you, Allah loves you.",1322130867230179328,Retweet,1532325816347918336
0,1532424283313405952,Thu Jun 02 18:09:54 +0000 2022,Adult life is constantly saying to your friends let’s do something soon and suddenly 6 months have gone by,2658009835,Retweet,1532086748255338497
0,1532424283217084418,Thu Jun 02 18:09:54 +0000 2022,"Everything you need to know about this gun control package: Democrats don’t even want to let me show what they’re trying to ban. 
 
I’m an American in my own home, and I’ll do whatever I want with my guns, Mr. Chairman. https://t.co/pH2OIsnlVp",4386427643,Retweet,1532399894773878784
0,1532424282734743555,Thu Jun 02 18:09:54 +0000 2022,".@MattWalshBlog brings new meaning to the phrase ""own the libs."" 😂

https://t.co/KC3nUA2FqH",1492820401323491333,Retweet,1532415052917129216
0,1532424282634080268,Thu Jun 02 18:09:54 +0000 2022,@GingerBeardie The case wasn't about abuse in all fairness. Neither are likely to ever press any charges over the abuse. I think the verdict is right and it's definitely refreshing to see abuse towards men taken seriously. But anyone taking away his accountability needs a hard drive check.,703329907527577600,Reply Tweet,
